,location_name,from,to
1361,N Harlem Ave And W Talcott Ave,N Harlem Ave And W Talcott Ave,
1362,On W Talcott Ave From N Harlem Ave To N Ozanam Ave,W Talcott Ave And N Harlem Ave,W Talcott Ave And N Ozanam Ave
1363,On W Talcott Ave From N Overhill Ave To N Oriole Ave,W Talcott Ave And N Overhill Ave,W Talcott Ave And N Oriole Ave
1364,On E 93rd St From S Drexel Ave To S Ellis Ave,E 93rd St And S Drexel Ave,E 93rd St And S Ellis Ave
1365,On S Drexel Ave From E 90th St To E 93rd St,S Drexel Ave And E 90th St,S Drexel Ave And E 93rd St
1366,On W 57th St From S La Salle St To S Lafayette Ave,W 57th St And S La Salle St,W 57th St And S Lafayette Ave
1367,5600-5659 S Perry Ave,5600 S Perry Ave,5659 S Perry Ave
1368,5600-5659 S Lafayette Ave,5600 S Lafayette Ave,5659 S Lafayette Ave
1369,On E 106th St From S Vernon Ave To S Rhodes Ave,E 106th St And S Vernon Ave,E 106th St And S Rhodes Ave
1370,On S Eberhart Ave From E 106th St To E 105th St,S Eberhart Ave And E 106th St,S Eberhart Ave And E 105th St
1371,On S Rhodes Ave From E 106th St To E 105th Pl,S Rhodes Ave And E 106th St,S Rhodes Ave And E 105th Pl
1372,On S Vernon Ave From E 107th St To E 106th St,S Vernon Ave And E 107th St,S Vernon Ave And E 106th St
1373,On E 108th St From S Eberhart Ave To S Rhodes Ave,E 108th St And S Eberhart Ave,E 108th St And S Rhodes Ave
1374,On S Eberhart Ave From E 107th St To E 108th St,S Eberhart Ave And E 107th St,S Eberhart Ave And E 108th St
1375,On S Vernon Ave From E 106th St To E 105th St,S Vernon Ave And E 106th St,S Vernon Ave And E 105th St
1381,On W 107th St From S Wood St To S Hale Ave,W 107th St And S Wood St,W 107th St And S Hale Ave
1382,10600-10700 S Hale Ave,10600 S Hale Ave,10700 S Hale Ave
1386,On S Eggleston Ave From W 124th St To W 126th St,S Eggleston Ave And W 124th St,S Eggleston Ave And W 126th St
1387,On W 125th St From S Parnell Ave To S Wentworth Ave,W 125th St And S Parnell Ave,W 125th St And S Wentworth Ave
1388,On W 124th St From S Parnell Ave To S Eggleston Ave,W 124th St And S Parnell Ave,W 124th St And S Eggleston Ave
1389,On W 125th St From S Wentworth Ave To S Harvard Ave,W 125th St And S Wentworth Ave,W 125th St And S Harvard Ave
1394,On N Central Ave From W Berteau Ave To W Sunnyside Ave,N Central Ave And W Berteau Ave,N Central Ave And W Sunnyside Ave
1395,N Central Ave And W Montrose Ave,N Central Ave And W Montrose Ave,
1396,On N Central Ave From W Berteau Ave To W Wilson Ave,N Central Ave And W Berteau Ave,N Central Ave And W Wilson Ave
1397,On S Bishop St From W 116th St To W 118th St,S Bishop St And W 116th St,S Bishop St And W 118th St
1398,On W 116th St From S Bishop St To S Ada St,W 116th St And S Bishop St,W 116th St And S Ada St
1399,On W 118th St From S Bishop St To S Justine St,W 118th St And S Bishop St,W 118th St And S Justine St
1400,On W 116th St From S Ada St To S Elizabeth St,W 116th St And S Ada St,W 116th St And S Elizabeth St
1401,On W 116th St From S Bishop St To S Justine St,W 116th St And S Bishop St,W 116th St And S Justine St
1465,On W 43rd St From S Drake Ave To S Kedzie Ave,W 43rd St And S Drake Ave,W 43rd St And S Kedzie Ave
1485,On S Wentworth Ave From W 76th St To W 75th St,S Wentworth Ave And W 76th St,S Wentworth Ave And W 75th St
1486,On W 76th St From S Stewart Ave To S Wentworth Ave,W 76th St And S Stewart Ave,W 76th St And S Wentworth Ave
1487,On W 76th St From S Perry Ave To S Lafayette Ave,W 76th St And S Perry Ave,W 76th St And S Lafayette Ave
1488,S Yale Ave And W 76th St,S Yale Ave And W 76th St,
1542,On S Honore St From W 88th St To W 87th St,S Honore St And W 88th St,S Honore St And W 87th St
1543,S Wood St And W 88th St,S Wood St And W 88th St,
1544,S Winchester Ave And W 88th St,S Winchester Ave And W 88th St,
1555,N Iron And W 39th Pl,N Iron And W 39th Pl,
1557,S Iron St And W Pershing Rd,S Iron St And W Pershing Rd,
1558,On N Sheridan Rd From W Birchwood Ave To W Devon Ave,N Sheridan Rd And W Birchwood Ave,N Sheridan Rd And W Devon Ave
1559,On W Thorndale Ave From N Sheridan Rd To N Glenwood Ave,W Thorndale Ave And N Sheridan Rd,W Thorndale Ave And N Glenwood Ave
1560,On E 69th St From S Anthony Ave To S Vernon Ave,E 69th St And S Anthony Ave,E 69th St And S Vernon Ave
1561,On N Milwaukee Ave From W Catalpa Ave To W Farragut Ave,N Milwaukee Ave And W Catalpa Ave,N Milwaukee Ave And W Farragut Ave
1562,On N Mobile Ave From W Gunnison St To W Argyle St,N Mobile Ave And W Gunnison St,N Mobile Ave And W Argyle St
1563,On N Mulligan Ave From W Peterson Ave To N Northwest Hwy,N Mulligan Ave And W Peterson Ave,N Mulligan Ave And N Northwest Hwy
1564,On N New England Ave From W Belmont Ave To W Wellington Ave,N New England Ave And W Belmont Ave,N New England Ave And W Wellington Ave
1565,On N Newcastle Ave From W Belmont Ave To W Wellington Ave,N Newcastle Ave And W Belmont Ave,N Newcastle Ave And W Wellington Ave
1566,On N Newland Ave From W Dickens Ave To W Armitage Ave,N Newland Ave And W Dickens Ave,N Newland Ave And W Armitage Ave
1567,On N Newland Ave From W Wrightwood Ave To W Grand Ave,N Newland Ave And W Wrightwood Ave,N Newland Ave And W Grand Ave
1568,On N Normandy Ave From W Barry Ave To W Wellington Ave,N Normandy Ave And W Barry Ave,N Normandy Ave And W Wellington Ave
1569,On N Oak Park Ave From W Altgeld St To W Grand Ave,N Oak Park Ave And W Altgeld St,N Oak Park Ave And W Grand Ave
1570,On N Oconto Ave From W Thorndale Ave To W Talcott Ave,N Oconto Ave And W Thorndale Ave,N Oconto Ave And W Talcott Ave
1571,On N Olcott Ave From W Gregory St To W Catalpa Ave,N Olcott Ave And W Gregory St,N Olcott Ave And W Catalpa Ave
1572,On N Melvina Ave From W Bloomingdale Ave To W Wabansia Ave,N Melvina Ave And W Bloomingdale Ave,N Melvina Ave And W Wabansia Ave
1573,On N Paris Ave From W Grace St To W Waveland Ave,N Paris Ave And W Grace St,N Paris Ave And W Waveland Ave
1574,On N Sayre Ave From W Bloomingdale Ave To W North Ave,N Sayre Ave And W Bloomingdale Ave,N Sayre Ave And W North Ave
1575,On N Springfield Ave From W Grand Ave To W Potomac Ave,N Springfield Ave And W Grand Ave,N Springfield Ave And W Potomac Ave
1576,On N Woodard St From N Milwaukee Ave To N Spaulding Ave,N Woodard St And N Milwaukee Ave,N Woodard St And N Spaulding Ave
1577,6500-6526 N Neva Ave,6500 N Neva Ave,6526 N Neva Ave
1578,On S Archer Ave From S Central Ave To S Long Ave,S Archer Ave And S Central Ave,S Archer Ave And S Long Ave
1579,On S Archer Ave From S Linder Ave To S Long Ave,S Archer Ave And S Linder Ave,S Archer Ave And S Long Ave
1580,On S Ashland Ave From W Congress Pkwy To W Roosevelt Rd,S Ashland Ave And W Congress Pkwy,S Ashland Ave And W Roosevelt Rd
1581,On S Blackstone Ave From E 74th St To E 75th St,S Blackstone Ave And E 74th St,S Blackstone Ave And E 75th St
1582,On S California Ave From W Monroe St To W Van Buren St,S California Ave And W Monroe St,S California Ave And W Van Buren St
1583,On S Carpenter St From W 71st St To W 72nd St,S Carpenter St And W 71st St,S Carpenter St And W 72nd St
1584,On S Dorchester Ave From E 70th St To E 71st St,S Dorchester Ave And E 70th St,S Dorchester Ave And E 71st St
1585,On S Emerald Ave From W 69th St To W 71st St,S Emerald Ave And W 69th St,S Emerald Ave And W 71st St
1586,On N Point St From N California Ave To W Armitage Ave,N Point St And N California Ave,N Point St And W Armitage Ave
1587,On N Mcclellan Ave From N Mandell Ave To N Meredith Ave,N Mcclellan Ave And N Mandell Ave,N Mcclellan Ave And N Meredith Ave
1588,On S Fairfield Ave From W 80th St To W 81st St,S Fairfield Ave And W 80th St,S Fairfield Ave And W 81st St
1589,On N Lockwood Ave From W Altgeld St To W Fullerton Ave,N Lockwood Ave And W Altgeld St,N Lockwood Ave And W Fullerton Ave
1590,On E 73rd St From S Blackstone Ave To S Stony Island Ave,E 73rd St And S Blackstone Ave,E 73rd St And S Stony Island Ave
1591,On N Ada St From W Hubbard St To W Kinzie St,N Ada St And W Hubbard St,N Ada St And W Kinzie St
1592,On N Ashland Ave From W Edgewater Ave To W Bryn Mawr Ave,N Ashland Ave And W Edgewater Ave,N Ashland Ave And W Bryn Mawr Ave
1593,On N Broadway From W Lawrence Ave To W Leland Ave,N Broadway And W Lawrence Ave,N Broadway And W Leland Ave
1594,On N Campbell Ave From W Wellington Ave To N Elston Ave,N Campbell Ave And W Wellington Ave,N Campbell Ave And N Elston Ave
1595,On N Cicero Ave From W Berenice Ave To W Warwick Ave,N Cicero Ave And W Berenice Ave,N Cicero Ave And W Warwick Ave
1596,On N Lorel Ave From W Altgeld St To W Fullerton Ave,N Lorel Ave And W Altgeld St,N Lorel Ave And W Fullerton Ave
1597,On N Damen Ave From W Carroll Ave To W Warren Blvd,N Damen Ave And W Carroll Ave,N Damen Ave And W Warren Blvd
1598,On N Forest Glen Ave From N Ionia Ave To N Hiawatha Ave,N Forest Glen Ave And N Ionia Ave,N Forest Glen Ave And N Hiawatha Ave
1599,On N Hamlin Ave From W School St To W Belmont Ave,N Hamlin Ave And W School St,N Hamlin Ave And W Belmont Ave
1600,On N Hiawatha Ave From N Lenox Ave To N Leader Ave,N Hiawatha Ave And N Lenox Ave,N Hiawatha Ave And N Leader Ave
1601,On N Jersey Ave From W Ardmore Ave To W Bryn Mawr Ave,N Jersey Ave And W Ardmore Ave,N Jersey Ave And W Bryn Mawr Ave
1602,On N Clark St From W Arthur Ave To W Edgewater Ave,N Clark St And W Arthur Ave,N Clark St And W Edgewater Ave
1603,On N Keeler Ave From W Lake St To W Maypole Ave,N Keeler Ave And W Lake St,N Keeler Ave And W Maypole Ave
1604,On N Kilbourn Ave From W Roscoe St To W School St,N Kilbourn Ave And W Roscoe St,N Kilbourn Ave And W School St
1605,On N Kimball Ave From W Fullerton Ave To W Schubert Ave,N Kimball Ave And W Fullerton Ave,N Kimball Ave And W Schubert Ave
1606,On N Kolmar Ave From W George St To W Diversey Ave,N Kolmar Ave And W George St,N Kolmar Ave And W Diversey Ave
1607,On N La Salle Dr From W Chicago Ave To W Oak St,N La Salle Dr And W Chicago Ave,N La Salle Dr And W Oak St
1608,On N Lansing Ave From N Forest Glen Ave To N Lemont Ave,N Lansing Ave And N Forest Glen Ave,N Lansing Ave And N Lemont Ave
1609,On N Latrobe Ave From W Augusta Blvd To W Iowa St,N Latrobe Ave And W Augusta Blvd,N Latrobe Ave And W Iowa St
1610,On N Leamington Ave From W Berwyn Ave To W Foster Ave,N Leamington Ave And W Berwyn Ave,N Leamington Ave And W Foster Ave
1611,On N Leona Ave From N Hiawatha Ave To N Caldwell Ave,N Leona Ave And N Hiawatha Ave,N Leona Ave And N Caldwell Ave
1612,On N Lincoln Ave From N St Louis Ave To N Jersey Ave,N Lincoln Ave And N St Louis Ave,N Lincoln Ave And N Jersey Ave
1613,On N Lincoln Ave From W Devon Ave To N Drake Ave,N Lincoln Ave And W Devon Ave,N Lincoln Ave And N Drake Ave
1614,On N Kedzie Ave From W Argyle St To W Ainslie St,N Kedzie Ave And W Argyle St,N Kedzie Ave And W Ainslie St
1615,On N Oconto Ave From W Howard St To W Birchwood Ave,N Oconto Ave And W Howard St,N Oconto Ave And W Birchwood Ave
1616,On N Nottingham Ave From W School St To W Belmont Ave,N Nottingham Ave And W School St,N Nottingham Ave And W Belmont Ave
1617,On N Nordica Ave From W Waveland Ave To W Roscoe St,N Nordica Ave And W Waveland Ave,N Nordica Ave And W Roscoe St
1618,On N Newland Ave From W Irving Park Rd To W Grace St,N Newland Ave And W Irving Park Rd,N Newland Ave And W Grace St
1619,On N Milwaukee Ave From W Carmen Ave To W Foster Ave,N Milwaukee Ave And W Carmen Ave,N Milwaukee Ave And W Foster Ave
1620,On N New England Ave From W Diversey Ave To W Schubert Ave,N New England Ave And W Diversey Ave,N New England Ave And W Schubert Ave
1621,On N Narragansett Ave From W Berenice Ave To W Warwick Ave,N Narragansett Ave And W Berenice Ave,N Narragansett Ave And W Warwick Ave
1622,On N Monitor Ave From W Thomas St To W Augusta Blvd,N Monitor Ave And W Thomas St,N Monitor Ave And W Augusta Blvd
1623,On N Milwaukee Ave From W Diversey Ave To N Kedzie Ave,N Milwaukee Ave And W Diversey Ave,N Milwaukee Ave And N Kedzie Ave
1624,On N Newcastle Ave From W Bloomingdale Ave To W Wabansia Ave,N Newcastle Ave And W Bloomingdale Ave,N Newcastle Ave And W Wabansia Ave
1625,On N Octavia Ave From W Howard St To W Birchwood Ave,N Octavia Ave And W Howard St,N Octavia Ave And W Birchwood Ave
1626,On S Drexel Ave From E 65th St To E 67th St,S Drexel Ave And E 65th St,S Drexel Ave And E 67th St
1627,On N Paulina St From W Ainslie St To W Lawrence Ave,N Paulina St And W Ainslie St,N Paulina St And W Lawrence Ave
1628,On N Pontiac Ave From W School St To W Belmont Ave,N Pontiac Ave And W School St,N Pontiac Ave And W Belmont Ave
1629,On N Springfield Ave From W Fullerton Ave To W Shakespeare Ave,N Springfield Ave And W Fullerton Ave,N Springfield Ave And W Shakespeare Ave
1630,On N Talman Ave From W Altgeld St To W Fullerton Ave,N Talman Ave And W Altgeld St,N Talman Ave And W Fullerton Ave
1631,On S Ada St From W 50th St To W 51st St,S Ada St And W 50th St,S Ada St And W 51st St
1632,On S Archer Ave From S Damen Ave To S Paulina St,S Archer Ave And S Damen Ave,S Archer Ave And S Paulina St
1633,On S Ashland Ave From S Archer Ave To W Pershing Rd,S Ashland Ave And S Archer Ave,S Ashland Ave And W Pershing Rd
1634,On S Blackstone Ave From E 73rd St To E 73rd Pl,S Blackstone Ave And E 73rd St,S Blackstone Ave And E 73rd Pl
1635,On S Blackstone Ave From E 81st St To E 82nd St,S Blackstone Ave And E 81st St,S Blackstone Ave And E 82nd St
1636,On S Calumet Ave From E 70th St To E 71st St,S Calumet Ave And E 70th St,S Calumet Ave And E 71st St
1637,On S Crandon Ave From E 69th St To E 70th St,S Crandon Ave And E 69th St,S Crandon Ave And E 70th St
1638,On N Meade Ave From W George St To W Diversey Ave,N Meade Ave And W George St,N Meade Ave And W Diversey Ave
1639,On N Paris Ave From W Addison St To W Forest Preserve Ave,N Paris Ave And W Addison St,N Paris Ave And W Forest Preserve Ave
1640,On N Lotus Ave From W Belmont Ave To W Wellington Ave,N Lotus Ave And W Belmont Ave,N Lotus Ave And W Wellington Ave
1641,On N Kedzie Ave From W Walnut St To W Lake St,N Kedzie Ave And W Walnut St,N Kedzie Ave And W Lake St
1642,On N Lincoln Ave From W Devon Ave To N Jersey Ave,N Lincoln Ave And W Devon Ave,N Lincoln Ave And N Jersey Ave
1643,On S Evans Ave From E 67th St To E 69th St,S Evans Ave And E 67th St,S Evans Ave And E 69th St
1644,On E 69th St From S Langley Ave To S Cottage Grove Ave,E 69th St And S Langley Ave,E 69th St And S Cottage Grove Ave
1645,On N Ada St From N Ogden Ave To W Madison St,N Ada St And N Ogden Ave,N Ada St And W Madison St
1646,On N Albany Ave From W Lawrence Ave To W Leland Ave,N Albany Ave And W Lawrence Ave,N Albany Ave And W Leland Ave
1647,On N Bishop St From W Washington Blvd To W Madison St,N Bishop St And W Washington Blvd,N Bishop St And W Madison St
1648,On N Campbell Ave From W Altgeld St To W Fullerton Ave,N Campbell Ave And W Altgeld St,N Campbell Ave And W Fullerton Ave
1649,On N Central Park Ave From W Grand Ave To W Iowa St,N Central Park Ave And W Grand Ave,N Central Park Ave And W Iowa St
1650,On N Claremont Ave From N Division St To N Potomac Ave,N Claremont Ave And N Division St,N Claremont Ave And N Potomac Ave
1651,On N Cumberland Ave From W Irving Park Rd To W Berteau Ave,N Cumberland Ave And W Irving Park Rd,N Cumberland Ave And W Berteau Ave
1652,On N Damen Ave From W Ohio St To W Superior St,N Damen Ave And W Ohio St,N Damen Ave And W Superior St
1653,On N Hamlin Ave From W Cornelia Ave To W Roscoe St,N Hamlin Ave And W Cornelia Ave,N Hamlin Ave And W Roscoe St
1654,On N Long Ave From W Wabansia Ave To W North Ave,N Long Ave And W Wabansia Ave,N Long Ave And W North Ave
1655,On N Harding Ave From W Wrightwood Ave To W Altgeld St,N Harding Ave And W Wrightwood Ave,N Harding Ave And W Altgeld St
1656,On N Justine St From W Arbour Pl To W Lake St,N Justine St And W Arbour Pl,N Justine St And W Lake St
1657,On N Keene Ave From N Sauganash Ave To N Ionia Ave,N Keene Ave And N Sauganash Ave,N Keene Ave And N Ionia Ave
1658,On N Kildare Ave From W Lake St To W Maypole Ave,N Kildare Ave And W Lake St,N Kildare Ave And W Maypole Ave
1659,On N Kirby Ave From N Caldwell Ave To N Kercheval Ave,N Kirby Ave And N Caldwell Ave,N Kirby Ave And N Kercheval Ave
1660,On N Kostner Ave From W Lake St To W Maypole Ave,N Kostner Ave And W Lake St,N Kostner Ave And W Maypole Ave
1661,On N Laflin St From W Arbour Pl To W Lake St,N Laflin St And W Arbour Pl,N Laflin St And W Lake St
1662,On N Laramie Ave From W Concord Pl To W North Ave,N Laramie Ave And W Concord Pl,N Laramie Ave And W North Ave
1663,On N Lawndale Ave From W Argyle St To W Lawrence Ave,N Lawndale Ave And W Argyle St,N Lawndale Ave And W Lawrence Ave
1664,On N Leavitt St From W Kinzie St To W Grand Ave,N Leavitt St And W Kinzie St,N Leavitt St And W Grand Ave
1665,On N Lincoln Ave From N Kedzie Ave To W Peterson Ave,N Lincoln Ave And N Kedzie Ave,N Lincoln Ave And W Peterson Ave
1666,On N Lincoln Ave From N Whipple St To W Bryn Mawr Ave,N Lincoln Ave And N Whipple St,N Lincoln Ave And W Bryn Mawr Ave
1667,On N Homan Ave From W Fulton Blvd To W Lake St,N Homan Ave And W Fulton Blvd,N Homan Ave And W Lake St
1668,On S Greenwood Ave From E 65th St To E 67th St,S Greenwood Ave And E 65th St,S Greenwood Ave And E 67th St
1669,On S Hamilton Ave From S Archer Ave To W 37th St,S Hamilton Ave And S Archer Ave,S Hamilton Ave And W 37th St
1670,On W 54th St From S Linder Ave To S Laramie Ave,W 54th St And S Linder Ave,W 54th St And S Laramie Ave
1671,On W 55th St From S Central Ave To S Laramie Ave,W 55th St And S Central Ave,W 55th St And S Laramie Ave
1672,On W 57th St From S Hermitage Ave To S Ashland Ave,W 57th St And S Hermitage Ave,W 57th St And S Ashland Ave
1673,On W 57th St From S Mobile Ave To S Mason Ave,W 57th St And S Mobile Ave,W 57th St And S Mason Ave
1674,On W 59th St From S Kedzie Ave To S Rockwell St,W 59th St And S Kedzie Ave,W 59th St And S Rockwell St
1675,On W 59th St From S Narragansett Ave To S Melvina Ave,W 59th St And S Narragansett Ave,W 59th St And S Melvina Ave
1676,On W 60th St From S Paulina St To S Ashland Ave,W 60th St And S Paulina St,W 60th St And S Ashland Ave
1677,On W 62nd St From S New England Ave To S Oak Park Ave,W 62nd St And S New England Ave,W 62nd St And S Oak Park Ave
1678,On W 74th St From S St Louis Ave To S Homan Ave,W 74th St And S St Louis Ave,W 74th St And S Homan Ave
1679,On W 83rd St From S St Louis Ave To S Homan Ave,W 83rd St And S St Louis Ave,W 83rd St And S Homan Ave
1680,On W 87th St From S Paulina St To S Ashland Ave,W 87th St And S Paulina St,W 87th St And S Ashland Ave
1681,On W 54th St From S Central Ave To S Linder Ave,W 54th St And S Central Ave,W 54th St And S Linder Ave
1682,On W Ainslie St From N Lavergne Ave To N Cicero Ave,W Ainslie St And N Lavergne Ave,W Ainslie St And N Cicero Ave
1683,On W Arthur Ave From N Harlem Ave To N Neva Ave,W Arthur Ave And N Harlem Ave,W Arthur Ave And N Neva Ave
1684,On W Belmont Ave From N Oconto Ave To N Harlem Ave,W Belmont Ave And N Oconto Ave,W Belmont Ave And N Harlem Ave
1685,On W Berenice Ave From N Narragansett Ave To N Mobile Ave,W Berenice Ave And N Narragansett Ave,W Berenice Ave And N Mobile Ave
1686,On W Carroll Ave From N Homan Ave To N Albany Ave,W Carroll Ave And N Homan Ave,W Carroll Ave And N Albany Ave
