,project_number,location_name,year_range,from,to
318,[170 -02] 38893,On W Chicago Ave From N St Louis Ave To N Central Park Ave,2016-2020,W Chicago Ave And N St Louis Ave,W Chicago Ave And N Central Park Ave
326,[170 -02] 39054,On N Rockwell St From N Lincoln Ave To W Rascher Ave,2016-2020,N Rockwell St And N Lincoln Ave,N Rockwell St And W Rascher Ave
331,[170 -02] 39344,On N Octavia Ave From W Ibsen St To W Estes Ave,2016-2020,N Octavia Ave And W Ibsen St,N Octavia Ave And W Estes Ave
363,[170 -02] 39567,On W Pratt Ave From N Oliphant Ave To N Oriole Ave,2016-2020,W Pratt Ave And N Oliphant Ave,W Pratt Ave And N Oriole Ave
383,[170 -02] 40125,On W Eddy St From N Lamon Ave To N Leclaire Ave,2016-2020,W Eddy St And N Lamon Ave,W Eddy St And N Leclaire Ave
387,[170 -02] 3204,On E 130th St From S Torrence Ave To S Brandon Ave,2017-2021,E 130th St And S Torrence Ave,E 130th St And S Brandon Ave
389,[170 -02] 3204,On S Brandon Ave From E 130th St To S Brainard Ave,2017-2021,S Brandon Ave And E 130th St,S Brandon Ave And S Brainard Ave
399,[170 -02] 38309,On W Carmen Ave From N Ravenswood Ave To N Paulina St,2017-2021,W Carmen Ave And N Ravenswood Ave,W Carmen Ave And N Paulina St
416,[170 -02] 38309,W 60th St And W 62nd St,2017-2021,W 60th St And W 62nd St,None
488,[170 -02] 38309,On N Spaulding Ave From W Lawrence Ave To W Leland Ave,2017-2021,N Spaulding Ave And W Lawrence Ave,N Spaulding Ave And W Leland Ave
496,[170 -02] 38309,On S St Louis Ave From W 83rd Pl To W 85th St,2017-2021,S St Louis Ave And W 83rd Pl,S St Louis Ave And W 85th St
504,[170 -02] 38893,On W Chicago Ave From N St Louis Ave To N Central Park Ave,2017-2021,W Chicago Ave And N St Louis Ave,W Chicago Ave And N Central Park Ave
511,[170 -02] 39567,On W Pratt Ave From N Oliphant Ave To N Oriole Ave,2017-2021,W Pratt Ave And N Oliphant Ave,W Pratt Ave And N Oriole Ave
535,[170 -02] 40700,On W Jarvis Ave From N Oriole Ave To N Overhill Ave,2017-2021,W Jarvis Ave And N Oriole Ave,W Jarvis Ave And N Overhill Ave
551,[170 -02] 40718,On S Ingleside Ave From E 65th St To E 64th St,2017-2021,S Ingleside Ave And E 65th St,S Ingleside Ave And E 64th St
561,[170 -02] 40773,On W Eddy St From W Cornelia Ave To W Newport Ave,2017-2021,W Eddy St And W Cornelia Ave,W Eddy St And W Newport Ave
586,[170 -02] 40778,On S Avenue G From E 106th St To E 103rd St,2017-2021,S Avenue G And E 106th St,S Avenue G And E 103rd St
605,[170 -02] 3204,On E 130th St From S Torrence Ave To S Brandon Ave,2018-2022,E 130th St And S Torrence Ave,E 130th St And S Brandon Ave
606,[170 -02] 3204,On S Brandon Ave From E 130th St To S Brainard Ave,2018-2022,S Brandon Ave And E 130th St,S Brandon Ave And S Brainard Ave
616,[170 -02] 38309,On W Carmen Ave From N Ravenswood Ave To N Paulina St,2018-2022,W Carmen Ave And N Ravenswood Ave,W Carmen Ave And N Paulina St
633,[170 -02] 38309,W 60th St And W 62nd St,2018-2022,W 60th St And W 62nd St,None
704,[170 -02] 38309,On N Spaulding Ave From W Lawrence Ave To W Leland Ave,2018-2022,N Spaulding Ave And W Lawrence Ave,N Spaulding Ave And W Leland Ave
712,[170 -02] 38309,On S St Louis Ave From W 83rd Pl To W 85th St,2018-2022,S St Louis Ave And W 83rd Pl,S St Louis Ave And W 85th St
723,[170 -02] 39567,On W Pratt Ave From N Oliphant Ave To N Oriole Ave,2018-2022,W Pratt Ave And N Oliphant Ave,W Pratt Ave And N Oriole Ave
766,[170 -02] 40700,On W Jarvis Ave From N Oriole Ave To N Overhill Ave,2018-2022,W Jarvis Ave And N Oriole Ave,W Jarvis Ave And N Overhill Ave
782,[170 -02] 40718,On S Ingleside Ave From E 65th St To E 64th St,2018-2022,S Ingleside Ave And E 65th St,S Ingleside Ave And E 64th St
792,[170 -02] 40773,On W Eddy St From W Cornelia Ave To W Newport Ave,2018-2022,W Eddy St And W Cornelia Ave,W Eddy St And W Newport Ave
817,[170 -02] 40778,On S Avenue G From E 106th St To E 103rd St,2018-2022,S Avenue G And E 106th St,S Avenue G And E 103rd St
843,[170 -02] 3204,On E 130th St From S Torrence Ave To S Brandon Ave,2019-2023,E 130th St And S Torrence Ave,E 130th St And S Brandon Ave
844,[170 -02] 3204,On S Brandon Ave From E 130th St To S Brainard Ave,2019-2023,S Brandon Ave And E 130th St,S Brandon Ave And S Brainard Ave
892,[170 -02] 38309,On W Carmen Ave From N Ravenswood Ave To N Paulina St,2019-2023,W Carmen Ave And N Ravenswood Ave,W Carmen Ave And N Paulina St
909,[170 -02] 38309,W 60th St And W 62nd St,2019-2023,W 60th St And W 62nd St,None
980,[170 -02] 38309,On N Spaulding Ave From W Lawrence Ave To W Leland Ave,2019-2023,N Spaulding Ave And W Lawrence Ave,N Spaulding Ave And W Leland Ave
988,[170 -02] 38309,On S St Louis Ave From W 83rd Pl To W 85th St,2019-2023,S St Louis Ave And W 83rd Pl,S St Louis Ave And W 85th St
999,[170 -02] 39567,On W Pratt Ave From N Oliphant Ave To N Oriole Ave,2019-2023,W Pratt Ave And N Oliphant Ave,W Pratt Ave And N Oriole Ave
1055,[170 -02] 40700,On W Jarvis Ave From N Oriole Ave To N Overhill Ave,2019-2023,W Jarvis Ave And N Oriole Ave,W Jarvis Ave And N Overhill Ave
1071,[170 -02] 40718,On S Ingleside Ave From E 65th St To E 64th St,2019-2023,S Ingleside Ave And E 65th St,S Ingleside Ave And E 64th St
1081,[170 -02] 40773,On W Eddy St From W Cornelia Ave To W Newport Ave,2019-2023,W Eddy St And W Cornelia Ave,W Eddy St And W Newport Ave
1106,[170 -02] 40778,On S Avenue G From E 106th St To E 103rd St,2019-2023,S Avenue G And E 106th St,S Avenue G And E 103rd St
1133,[170 -02] 3204,On E 130th St From S Torrence Ave To S Brandon Ave,2015-2019,E 130th St And S Torrence Ave,E 130th St And S Brandon Ave
1134,[170 -02] 3204,On S Brandon Ave From E 130th St To S Brainard Ave,2015-2019,S Brandon Ave And E 130th St,S Brandon Ave And S Brainard Ave
